"codigo","situacao","nome","descricao","mensagem","parametros"
"ELIM0621","Ativa","VALIDA SALDO DA CONTA 120.01.03","VERIFICA SE O SALDO DA CONTA 120.01.03 BATE COM O RESULTADO DE SUA FÓRMULA","O saldo da conta 120.01.03 (VALOR1) não bate com o mínimo das contas 120.01.03.01 e 120.01.03.02 (VALOR2).","System.Object[]"
"ELIM0622","Ativa","Valida saldo da conta 211","Valida saldo da conta 211","O valor informado na conta 211, VL1, nÃ£o confere com o resultado de sua fÃ³rmula VL2.","System.Object[]"
"ELIM0623","Ativa","Valida saldo da conta 212","Valida saldo da conta 212","O valor informado na conta 212, VL1, difere do resultado de sua fórmula VL2.","System.Object[]"
"ELIM0624","Ativa","Valida saldo da conta 213","Valida saldo da conta 213","O valor informado para a conta 213,  VL1, diverge do resultado de sua fÃ³rmula VL2.","System.Object[]"
"ELIM0625","Ativa","Valida saldo da conta 216","Valida saldo da conta 216","O saldo da conta 216, VL1, supera o valor esperado para essa conta VL2.","System.Object[]"
"ELIM0626","Ativa","Valida o saldo da conta 219","Valida o saldo da conta 219","O saldo da conta 219 VL1 diverge do resultado esperado de sua fÃ³rmula VL2.","System.Object[]"
"ELIM0627","Ativa","Valida saldo da conta 200","Valida saldo da conta 200, considerando o resultado de sua fórmula","O saldo da conta 200, VL1, não confere com o resultado de sua fórmula VL2","System.Object[]"
"ELIM0628","Ativa","Valida saldo da conta 210","Valida saldo da conta 210, em relação ao resultado de sua fórmula","O saldo da conta 210, VL1, difere do resultado apurado de sua fórmula VL2","System.Object[]"
"ELIM0629","Ativa","Valida saldo da conta 214","Valida o saldo da conta 214 com o resultado de sua fórmula","O saldo da conta 214, VL1, difere do resultado de sua fÃ³rmula VL2.","System.Object[]"
"ELIM0901","Ativa","Parâmetro com valor monetário válido","Valida se valor informado para o parâmetro é um valor monetário válido","Informado valor em formato monetário inválido","System.Object[]"
"ELIM0902","Ativa","Saldo Cosif da conta igual soma de detalhamentos Cosif","Valida se o saldo Cosif da conta é igual à soma de seus detalhamentos Cosif","Valor Cosif informado para a conta difere do somatório dos detalhamentos Cosif","System.Object[]"
"ELIM0903","Ativa","Tag detalhamento Cosif informada","Valida se tag detalhamento cosif foi informada em conta que prevê a tag detalhamento Cosif","Não informado na conta detalhamento Cosif","System.Object[]"
"ELIM0917","Ativa","Verificação de informação de todos os dias úteis","Verifica se todos os dias úteis da data-base do documento foram informados","Não foram informados todos os dias úteis da data-base do documento","System.Object[]"
"ELIM0918","Ativa","Verificação se todos os dias-base informados são dias úteis da data-base do documento","Verifica se todos os dias-base informados são dias úteis da data-base do documento","A data informada não é um dia útil ou não faz parte do mês da data base","System.Object[]"
"ELIM0919","Ativa","Verificação de data válida para o elemento","Verifica se o elemento informado é um dia útil","A data informada no detalhamento não é um dia útil","System.Object[]"
"ELIM0950","Ativa","Limites válidos","Valida limites do documento","Limites inválidos informados no documento: [lista]","System.Object[]"
"ELIM0951","Ativa","Contas Cosif válidas","Valida contas Cosif do documento","Contas Cosif inválidas informadas no documento: [lista]","System.Object[]"
"ELIM0952","Ativa","Tipo de cliente válido","Valida tipos de cliente do documento","Tipos de cliente (TABELA 037) inválidos informados no documento: [lista]","System.Object[]"
"ELIM0953","Ativa","Tipo de participante válido","Valida tipos de participante do documento","Tipos de participante (TABELA 038) inválidos informados no documento: [lista]","System.Object[]"
"ELIM0954","Ativa","Razão do participante válida","Valida razão do participante do documento","Razões do participante (TABELA 039) inválidas informadas no documento: [lista]","System.Object[]"
