"codigo","situacao","nome","descricao","mensagem","parametros"
"ELIM0007","Ativa","Parâmetros válidos","Valida parâmetros do documento","Parâmetros informados no documento inválidos: [lista]","System.Object[]"
"ELIM0009","Ativa","Contas válidas","Valida contas do documento","Contas inválidas informadas no documento: [lista]","System.Object[]"
"ELIM0012","Ativa","Elemento com valor inteiro válido","Valida se valor informado para o elemento é um valor inteiro  válido","Informado valor em formato inteiro inválido.","System.Object[]"
"ELIM0013","Ativa","Soma de detalhamentos de conta igual ao saldo da conta","Valida se o saldo da conta é igual à soma de seus detalhamentos","Valor informado para conta difere do somatório dos seus detalhamentos","System.Object[]"
"ELIM0016","Ativa","Saldo da conta igual resultado de sua fórmula","Valida saldo de conta com base em fórmula de validação","Valor informado para o saldo da conta difere do resultado esperado a partir de sua fórmula","System.Object[]"
"ELIM0020","Ativa","Contas repetidas","Valida contas repetidas no documento","Contas repetidas informadas no documento: [lista]","System.Object[]"
"ELIM0026","Ativa","Valida sinal positivo de contas","Valida saldos positivos","Valor informado para a conta não pode assumir valor negativo","System.Object[]"
"ELIM0027","Ativa","Parâmetro 'S' ou 'N'","Valida se parâmetro é diferente de 'S' ou 'N'","Parâmetro infomado no documento deve ser 'S' ou 'N'","System.Object[]"
"ELIM0028","Desativada","Validar Fator F com limite 05","Espera-se que o fator F (domínio 1 da tab6) seja informado sempre que a instituição estiver sujeita ao limite 05.00 da tab1","Parâmetro 'Fator F' não informado. Instituição submetida ao limite 05 deve informá-lo.","System.Object[]"
"ELIM0029","Desativada","Validar Fator F para cooperativas","Espera-se que o fator F seja 11 para todas instituições financeiras à exceção das repassadoras (que não estão sujeitas ao limites 05) e das cooperativas de crédito que poderão ser:  Cooperativas não vinculadas a centrais: 15 ou 17, será 17 obrigatoriamente se o domínio 2 da tab6 for 'S'. E será 15 obrigatoriamente se for 'N'. Cooperativas vinculadas a centrais: 11 ou 13, será 13 obrigatoriamente se o domínio 2 da tab6 for 'S'. E será 11 obrigatoriamente se for 'N'.","Valor informado para parâmetro 'Fator F' é inválido para o tipo de instituição financeira.","System.Object[]"
"ELIM0030","Ativa","Validar obrigatoriedade da Opção de Adicional para cooperativas","Espera-se que o domínio 2 da tab6 seja informado sempre que a instituição for cooperativa de crédito","Parâmetro 'Opção pelo adicional do Fator F' não informado. Cooperativa de crédito deve informá-lo.","System.Object[]"
"ELIM0031","Desativada","Validar obrigatoriedade da Metodologia para o limite 05","Espera-se que o domínio 3 da tab6 seja informado sempre que a instituição estiver sujeita ao limite 05.00 da tab1","Parâmetro 'Opção da metodologia de risco operacional' não informado. Instituição submetida ao limite 05 deve informá-lo.","System.Object[]"
"ELIM0032","Desativada","Validar Fator F para cooperativas","Fator F informado com valores diferentes de 0,11; 0,13; 0,15 ou 0,17 (os fatores 0,5 e 0,17 somente são válido para Ifs do tipo cooperativa atributo R e codigo segmento no Unicad igual a 9)","Valor informado para parâmetro 'Fator F' é inválido para o tipo da instituição financeira.","System.Object[]"
"ELIM0033","Desativada","Validar Fator F com Opção pelo Adicional","Fator F informado com 0,11 ou 0,15 (especificamente para cooperativas) sem que o parâmetro (2) do Anexo 6 (CodigodoParametro) esteja preenchido com N","Valor informado para parâmetro 'Fator F' não é válido para instituição optante pelo adicional do Fator F.","System.Object[]"
"ELIM0034","Desativada","Validar Fator F com Opção pelo Adicional","Fator F informado como 0,13 ou 0,17 (especificamente para cooperativas) com o parâmetro (2) do Anexo 6 (CodigodoParametro) preenchido com N","Valor informado para parâmetro 'Fator F' não é válido para instituição não optante pelo adicional do Fator F.","System.Object[]"
"ELIM0035","Ativa","Validar conta 101","Conta 101 (PR para Basileia) informada com valor igual a Zero. Não permitir a entrada.","Valor informado para conta 101 é inválido. Valor deve ser diferente de zero.","System.Object[]"
"ELIM0036","Ativa","Validar conta 102","Conta 102 (PR para Imobilização) informada com valor igual a Zero. Não permitir a entrada.","Valor informado para conta 102 é inválido. Valor deve ser diferente de zero.","System.Object[]"
"ELIM0037","Ativa","Validar conta 900","Conta 900 (Valor do RWA ) informada com valor igual a Zero. Não permitir a entrada.","Valor informado para conta 900 é inválido. Valor deve maior do que zero.","System.Object[]"
"ELIM0038","Ativa","Validar conta 960 menor do que zero","Sempre que o valor da conta 960 (Margem/Insuficiência para Limite de Imobilização) for menor do que zero ele dever ser igual em valor absoluto ao valor da conta 105 (Excesso de Recursos Aplicados no Ativo Permanente)","Valor informado para conta 960 é inválido. Valor da conta 960 (R$ VALOR1) deve ser igual, em valor absoluto, ao da conta 105 (R$ VALOR2).","System.Object[]"
"ELIM0039","Ativa","Validar conta 960 maior do que zero","Sempre que o valor da conta 960 for maior ou igual a zero então o valor da conta 105 tem que ser igual a zero.","Valor informado para conta 105 é inválido. Valor da conta 105 deve ser igual a zero quando o valor da conta 960 for maior ou igual a zero.","System.Object[]"
"ELIM0040","Desativada","VALIDAR CONTA 120 ANTES DE 10/2013","Se o saldo da conta conta 120 (PATRIMONIO DE REFERENCIA NIVEL II) for positivo, então ele está limitado ao maior valor entre 0 e o saldo da conta 110 (PATRIMONIO DE REFERENCIA NIVEL I).","Valor informado para conta 120 é inválido. Valor da conta 120, quando positivo, deve limitar-se ao maior valor entre zero e o saldo da conta 110.","System.Object[]"
"ELIM0042","Ativa","Validar parâmetro de nome do responsável","O parâmetro Nome do responsável pelo envio do documento deve ser obrigatoriamente informado","Parâmetro Nome do responsável pelo envio do documento não informado.","System.Object[]"
"ELIM0043","Ativa","Validar parametro de telefone do responsável","O parâmetro telefone do responsável pelo envio do documento deve ser obrigatoriamente informado","Parâmetro Telefone do responsável pelo envio do documento não informado.","System.Object[]"
"ELIM0044","Desativada","Validar substituição de Documento","Se o indicador for 'inclusão', rotina processará documentos com situação 'esperado' e 'processado com erro' e rejeitará os com situação 'processado com sucesso';- Se o indicador for 'substituição', rotina processará documentos com situação 'processado com sucesso' e rejeitará os com situação 'esperado' e 'processado com erro'.","Valor informado para o parâmetro de Inclusão ou Alteração de documento incompatível com situação do documento na data-base informada.","System.Object[]"
"ELIM0045","Desativada","Validar parâmetro de substituição","O parâmetro de substituição do documento DLO deve ser obrigatoriamente informado","Parâmetro de Indicador de inclusão ou alteração de documento não informado.","System.Object[]"
"ELIM0046","Ativa","Valida sinal negativo de contas","Valida saldos negativos","Valor informado para a conta não pode assumir valor positivo","System.Object[]"
"ELIM0049","Ativa","Validar parâmetro de email do responsável","O parâmetro email do responsável pelo envio do documento dever ser obrigatoriamente informado","Parâmetro email do responsável pelo envio do documento não informado.","System.Object[]"
"ELIM0050","Desativada","Validar conta 705","Verifica se o saldo da conta 705 está de acordo como o fator F informado e com o saldo da conta 700","O SALDO DA CONTA 705 NÃO É COMPATÍVEL COM O RESULTADO DA MULTIPLICAÇÃO DO FATOR F INFORMADO PELO SALDO DA CONTA 700.","System.Object[]"
"ELIM0051","Desativada","IHCD - limite de 15 % do PR Nível 1","Verifica se o saldo da conta 110.04 - Instrumentos Híbridos de Capital e Dívida não ultrapassou 15% do PR de nível 1.","O SALDO DA CONTA 110.04 ULTRAPASSOU O LIMITE DE 15% DO PR DE NÍVEL 1.","System.Object[]"
"ELIM0052","Desativada","Validar saldo da conta 720","Verifica para as Instituições que devem detalhar o PEPR se o saldo da conta 720 é o resultado do somatório das contas 705, 710 E 715.","O SALDO DA CONTA 720 NÃO É COMPATÍVEL COM O SOMATÓRIO DO SALDO DAS CONTAS 705, 710 E 715.","System.Object[]"
"ELIM0053","Ativa","Validar saldo da conta 872","Verifica se o saldo da conta 872 está compatível com o  saldo das contas 872.10.02, 872.20.02, 872.30.02, 872.10.11, 872.20.11, 872.30.11, 872.10.12, 872.20.12, 872.30.12, 872.10.03, 872.20.03, 872.30.03, 872.10.10, 872.20.10, 872.30.10, 872.10.07, 872.20.07, 872.30.07, 872.10.08, 872.20.08, 872.30.08, 872.10.09, 872.20.09 e 872.30.09","SALDO DA CONTA 872 INCOMPATÍVEL COM A MÉDIA PONDERADA PELOS BETAS DOS IE E IAE DAS DIFERENTES LINHAS DE NEGÓCIO.","System.Object[]"
"ELIM0054","Ativa","Validar saldo da conta 873","Verifica se o saldo da conta 873 está compatível com o saldo das contas 873.10.01, 873.20.01, 873.30.01, 873.10.13, 873.20.13, 873.30.13.","SALDO DA CONTA 873 INCOMPATÍVEL COM A MÉDIA PONDERADA PELOS BETAS DOS IE E IAE DAS DIFERENTES LINHAS DE NEGÓCIO.","System.Object[]"
"ELIM0055","Ativa","Validar saldo da conta 871","Verifica se o saldo da conta 871 está compatível com o saldo das contas 871.10.00, 871.20.00 e 871.30.00","SALDO DA CONTA 871 INCOMPATÍVEL COM A MÉDIA PONDERADA PELO FATOR 0,15 DOS IE.","System.Object[]"
"ELIM0056","Desativada","Validar contas 120.07, 120.02 e 120.03","Verifica se o limite de 50% do PR de nível 1 para o somatório dos saldos, após aplicação de redutores, de ações com cláusula de resgate, de ações preferenciais com cumulatividade de dividendos e de dívidas subordinadas foi respeitado.","SOMATÓRIO DOS SALDOS DAS CONTAS 120.07 E 120.02 DEDUZIDO DO SALDO DA CONTA 120.03 INCOMPATÍVEL COM O LIMITE DE 50% DO PR DE NÍVEL 1 (50% DO SALDO DA CONTA 110)","System.Object[]"
"ELIM0057","Desativada","Validar saldo das contas 110.06 e 120.04","Verifica se o limite de 25% DO PR de nível 1 para as reservas de reavaliação foi respeitado.","SALDO DA CONTA 110.06 DEDUZIDO DO SALDO DA CONTA 120.04 INCOMPATÍVEL COM O LIMITE DE 25 DO PR DE NÍVEL 1 (25% DO SALDO DA CONTA 110)","System.Object[]"
"ELIM0058","Ativa","Validar Saldo da Conta 890","Descrição: verifica se o saldo da conta 890 está compatível com o saldo das contas DLO[890.01.00], DLO[890.10.01], DLO[890.20.01], DLO[890.20.02], DLO[890.20.03], DLO[890.20.06], DLO[890.20.04], 
DLO[890.20.05], DLO[890.30.01], DLO[890.30.02], DLO[890.30.03], DLO[890.30.04], DLO[890.40.01], DLO[890.40.02], DLO[890.40.03], DLO[890.40.04], DLO[890.40.05], DLO[890.50.01], DLO[890.50.02],
DLO[890.80.01] e DLO[890.99.01]","SALDO DA CONTA 890 INCOMPATÍVEL COM O RESULTADO DE SUA FÓRMULA.","System.Object[]"
"ELIM0059","Ativa","Elementos associados às contas","Valida elementos associados às contas","Associações inválidas de elementos à conta","System.Object[]"
"ELIM0060","Ativa","Domínio de elementos associados às contas","Valida domínio de elemento associado às contas","Associações inválidas de domínios de elementos à conta","System.Object[]"
"ELIM0061","Ativa","Valida valores esperados positivos associados a elementos ","Valida valores esperados positivos associados a elementos","Valor informado para o elemento é inválido por ser um valor negativo.","System.Object[]"
"ELIM0062","Ativa","Valida valores esperados negativos associados a elementos","Valida valores esperados negativos associados a elementos","Valor informado para o elemento é inválido por ser um valor positivo, para este campo espera-se valores negativos ou zero.","System.Object[]"
"ELIM0063","Desativada","Validação das contas 110.02 e 110.05 em junho e dezembro","Documentos 2041 são rejeitados cujos saldos nos meses de junho e dezembro das contas 110.02 e 110.05 assumam valores diferentes de zero.","Nos meses de junho e dezembro as informações das contas 110.02 e 110.05 devem refletir as informações do balanço (doc. 4016 ou 4026 ou 4046).","System.Object[]"
"ELIM0064","Desativada","VALIDAR SALDO DA CONTA 870 PARA ABORDAGEM 1 - DOC 2051","VERIFICA SE O SALDO DA CONTA 870 ESTÁ COMPATÍVEL COM O SALDO DA CONTA 871  E DA CONTA 874, COM A CORRETA APLICAÇÃO DO MULTIPLICADOR ""Z"".","SALDO DA CONTA 870 INCOMPATÍVEL COM A SOMA DOS SALDOS DAS CONTAS 871 E 874 APÓS APLICAÇÃO DO MULTIPLICADOR ""Z"" APROPRIADO.","System.Object[]"
"ELIM0065","Desativada","VALIDAR SALDO DA CONTA 870 PARA ABORDAGEM 2 - DOC 2051","VERIFICA SE O SALDO DA CONTA 870 ESTÁ COMPATÍVEL COM O SALDO DA CONTA 872 E DA CONTA 874, COM A CORRETA APLICAÇÃO DO MULTIPLICADOR ""Z"".","SALDO DA CONTA 870 INCOMPATÍVEL COM A SOMA DOS SALDOS DAS CONTAS 872 E 874 APÓS APLICAÇÃO DO MULTIPLICADOR ""Z"" APROPRIADO.","System.Object[]"
"ELIM0066","Desativada","VALIDAR SALDO DA CONTA 870 PARA ABORDAGEM 3 - DOC 2051","VERIFICA SE O SALDO DA CONTA 870 ESTÁ COMPATÍVEL COM O SALDO DA CONTA 873 E DA CONTA 874, COM A CORRETA APLICAÇÃO DO MULTIPLICADOR ""Z"".","SALDO DA CONTA 870 INCOMPATÍVEL COM A SOMA DOS SALDOS DAS CONTAS 873 E 874 APÓS APLICAÇÃO DO MULTIPLICADOR ""Z"" APROPRIADO.","System.Object[]"
"ELIM0067","Desativada","VALIDAR SALDO DA CONTA 870 PARA ABORDAGEM 1 - DOC 2041","VERIFICA SE O SALDO DA CONTA 870 ESTÁ COMPATÍVEL COM O SALDO DA CONTA 871, COM A CORRETA APLICAÇÃO DO MULTIPLICADOR ""Z"".","SALDO DA CONTA 870 INCOMPATÍVEL COM O SALDO DA CONTA 871 APÓS APLICAÇÃO DO MULTIPLICADOR ""Z"" APROPRIADO.","System.Object[]"
"ELIM0068","Desativada","VALIDAR SALDO DA CONTA 870 PARA ABORDAGEM 2 - DOC 2041","VERIFICA SE O SALDO DA CONTA 870 ESTÁ COMPATÍVEL COM O SALDO DA CONTA 872, COM A CORRETA APLICAÇÃO DO MULTIPLICADOR ""Z"".","SALDO DA CONTA 870 INCOMPATÍVEL COM O SALDO DA CONTA 872 APÓS APLICAÇÃO DO MULTIPLICADOR ""Z"" APROPRIADO.","System.Object[]"
"ELIM0069","Desativada","VALIDAR SALDO DA CONTA 870 PARA ABORDAGEM 3 - DOC 2041","VERIFICA SE O SALDO DA CONTA 870 ESTÁ COMPATÍVEL COM O SALDO DA CONTA 873, COM A CORRETA APLICAÇÃO DO MULTIPLICADOR ""Z"".","SALDO DA CONTA 870 INCOMPATÍVEL COM O SALDO DA CONTA 873 APÓS APLICAÇÃO DO MULTIPLICADOR ""Z"" APROPRIADO.","System.Object[]"
"ELIM0071","Ativa","Verifica IE (BIA) em T-3","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM  apresenta valor diferente do saldo da conta 871.10.00","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16) apresenta valor diferente do saldo da conta 871.10.00","System.Object[]"
"ELIM0072","Ativa","Verifica IE (BIA) em T-2","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM  apresenta valor diferente do saldo da conta 871.20.00","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16) apresenta valor diferente do saldo da conta 871.20.00","System.Object[]"
"ELIM0073","Ativa","Verifica IE (BIA) vem T-1","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM  apresenta valor diferente do saldo da conta 871.30.00","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16) apresenta valor diferente do saldo da conta 871.30.00","System.Object[]"
"ELIM0074","Ativa","Verifica IE (ASA) em T-1 Linha de Negócio - Finanças Corporativas","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.07","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.07
","System.Object[]"
"ELIM0075","Ativa","Verifica IE (ASA) em T-2 Linha de Negócio - Finanças Corporativas","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.07","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.07","System.Object[]"
"ELIM0076","Ativa","Verifica IE (ASA) em T-3 Linha de Negócio - Finanças Corporativas","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.07","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.07","System.Object[]"
"ELIM0077","Ativa","Verifica IE (ASA) em T-1 Linha de Negócio - Negociação e Vendas","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.08","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.08","System.Object[]"
"ELIM0078","Ativa","Verifica IE (ASA) em T-2 Linha de Negócio - Negociação e Vendas","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.08","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.08","System.Object[]"
"ELIM0079","Ativa","Verifica IE (ASA) em T-3 Linha de Negócio - Negociação e Vendas","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.08","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.08","System.Object[]"
"ELIM0080","Ativa","Verifica IE (ASA) em T-1 Linha de Negócio - Pagamento e Liquidação","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.09","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.09","System.Object[]"
"ELIM0081","Ativa","Verifica IE (ASA) em T-2 Linha de Negócio - Pagamentos e Liquidação","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.09","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.09","System.Object[]"
"ELIM0082","Ativa","Verifica IE (ASA) em T-3 Linha de Negócio - Pagamentos e Liquidação","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.09","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.09","System.Object[]"
"ELIM0083","Ativa","Verifica IE (ASA) em T-1 Linha de Negócio - Pagamento e Liquidação","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.10","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.10","System.Object[]"
"ELIM0084","Ativa","Verifica IE (ASA) em T-2 Linha de Negócio - Serviços de Agente Financeiro","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.10","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.10","System.Object[]"
"ELIM0085","Ativa","Verifica IE (ASA) em T-3 Linha de Negócio - Serviços de Agente Financeiro","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.10","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.10","System.Object[]"
"ELIM0086","Ativa","Verifica IE (ASA) em T-1 Linha de Negócio - Pagamento e Liquidação","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.11","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.11","System.Object[]"
"ELIM0087","Ativa","Verifica IE (ASA) em T-2 Linha de Negócio - Administração de Ativos","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.11","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.11","System.Object[]"
"ELIM0088","Ativa","Verifica IE (ASA) em T-3 Linha de Negócio - Administração de Ativos","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.11","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.11","System.Object[]"
"ELIM0089","Ativa","Verifica IE (ASA) em T-1 Linha de Negócio - Corretagem de Varejo","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.12","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.30.12","System.Object[]"
"ELIM0090","Ativa","Verifica IE (ASA) em T-2 Linha de Negócio - Corretagem de Varejo","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.12","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.20.12","System.Object[]"
"ELIM0091","Ativa","Verifica IE (ASA) em T-3 Linha de Negócio - Corretagem de Varejo","A soma das Receitas de Intermediação Financeira, Receitas de Prestação de Serviços, Plano de Negócios, subtraída das Despesas de Intermediação Financeira e Ganho e Perdas com Alienação de TVM apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.12","A soma das Receitas de Intermediação Financeira (elemento 11), Receitas de Prestação de Serviços (elemento 12), Plano de Negócios (elemento 20), subtraída das Despesas de Intermediação Financeira (elemento 14) e Ganho e Perdas com Alienação de TVM (elemento 16)apresenta valor diferente do saldo apresentado no documento DLO para a conta 872.10.12","System.Object[]"
"ELIM0092","Ativa","Verifica IAE (ASA2) em T-1 Linha de Negócio - Varejo/Comercial","A média por período anual da soma das Operações de Crédito, TVM Não Negociação e Plano de Negócios, multiplicada por 3,5%,  apresenta valor diferente do saldo apresentado no documento DLO para a conta 873.30.01","A média por período anual da soma das Operações de Crédito (elemento 17), TVM Não Negociação (elemento 18) e Plano de Negócios (elemento 20), multiplicada por 3,5%,  apresenta valor diferente do saldo apresentado no documento DLO para a conta 873.30.01","System.Object[]"
